"","Y1966","Y1967","Y1968","Y1969","Y1970","Y1971","Y1972","Y1973","Y1974","Y1975","Y1976","Y1977","Y1978","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010"
"46110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,NA,0,0,NA,0,1,0,2,NA,3,0,0,0,1,1,0,1,NA
"46112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,1,0,1,4,3,4,2,2,3,3,1,6,2,3,3,4,3,5,4,4,NA,1
"46121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,NA,NA,2,0,NA,2,5,3,4,2,2,1,5,3,2,1,2,0,4,2,0,1,4,6,1,2,0
"46123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,13,16,14,17,16,18,16,14,10,9,5,21,20,10,20,16,9,20,15,15,13,13,23,14,13,11,15
"46125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,11,9,7,6,9,6,2,10,4,2,NA,NA,4,4,6,5,3,2,6
"46126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,8,7,3,5,8,5,5,NA,3,5,5,7,5,3,3,2,7,3
"46145",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,8,NA,NA,10,8,13,11,NA,2,2
"46149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,65,43,NA,34,23,24,22,8,7,16,21,25,21,23,28,37,NA,24,30,15,NA,24,NA,NA,12,NA,NA,NA,10,10
"46150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,31,38,28,36,NA,32,20,26,25,15,27,23,23,17,NA,21,20,NA,32,15,12,10,13,14,13,15,8,13,12,8,8,6
"88001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,0,0,1,0,2,1,NA,0,0,NA,NA,NA,0,2,4,NA,NA,NA,NA,NA,4,1,0,0,0,NA,1,1,NA,NA,NA
"88002",NA,0,1,0,1,0,0,0,0,0,1,1,NA,1,1,NA,0,0,3,1,NA,NA,NA,1,1,2,2,1,0,2,1,1,3,1,6,4,1,1,2,2,4,3,0,NA,0
"88003",NA,18,18,15,31,20,17,20,17,12,17,17,11,7,20,10,21,14,18,16,14,16,10,12,15,18,11,23,24,17,41,NA,35,NA,19,21,28,NA,19,20,NA,23,22,26,20
"88004",NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"88005",9,NA,NA,5,2,4,NA,NA,NA,NA,NA,NA,1,NA,NA,2,1,5,5,6,4,6,1,4,3,2,2,2,6,9,2,7,7,4,7,5,6,4,5,4,10,11,9,1,11
"88006",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,1,1,0,0,1,2,1,0,4,1,3,2,1,0,NA,NA,1,1,3,4,NA,1,6,NA,NA,NA,0,NA,2,1,2,5,NA
"88007",NA,NA,3,3,2,0,0,0,0,2,2,3,1,1,1,2,9,3,2,NA,0,2,5,1,4,7,3,6,8,7,1,1,4,7,2,0,4,2,3,1,3,8,2,3,6
"88008",NA,NA,NA,NA,NA,0,0,0,0,1,2,0,0,0,NA,0,0,0,2,NA,NA,2,1,NA,0,0,0,0,0,1,1,2,2,0,1,1,1,1,0,2,4,2,7,4,NA
"88009",0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,5,NA,6,NA,NA,NA,NA,NA,13,8,7,11,9,16,18,15,16,12,19,4,11,14,18,16,NA,NA,NA,20,NA,NA,16,22,NA
"88011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,2,3,1,NA,1,NA,NA,9,11,6,6,11,12,5,6,10,6,17,NA,NA,8,18,NA,NA,NA,NA,10,15,11,NA,NA,NA
"88012",NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,5,1,1,5,4,3,2,NA,6,NA,1,5,8,7,6,6,NA,8,9,6,7,3,NA,9,11,NA,NA,NA,NA,6,3,5,2,NA
"88013",NA,NA,NA,19,24,14,7,14,12,NA,NA,21,16,9,9,3,14,13,20,15,29,21,43,25,30,28,19,27,28,19,29,22,23,12,20,19,21,6,12,13,14,19,15,16,14
"88014",NA,NA,NA,7,11,8,NA,7,9,NA,NA,10,15,5,13,12,16,6,8,14,3,12,20,1,7,10,10,6,9,20,17,18,13,17,27,15,20,8,16,17,12,17,13,19,16
"88015",NA,28,NA,NA,NA,NA,NA,NA,NA,NA,9,2,2,21,15,15,15,21,12,2,2,7,7,16,0,4,8,16,13,13,13,13,10,10,8,3,12,10,9,5,10,13,13,NA,NA
"88016",NA,NA,1,0,2,2,NA,NA,NA,1,NA,0,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88017",0,0,2,2,0,0,NA,NA,NA,3,NA,2,2,0,NA,1,0,NA,1,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,1,1,NA,0,0,0,0,NA,NA,NA,0
"88018",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,1,0,NA,0,2,0,1,NA,NA,NA
"88019",NA,0,1,NA,1,0,1,1,1,1,0,0,1,0,0,1,NA,NA,0,NA,0,0,1,0,0,NA,NA,0,NA,NA,1,0,NA,2,2,NA,NA,NA,0,2,NA,2,NA,NA,NA
"88020",NA,NA,NA,1,2,1,NA,6,5,3,6,2,2,1,4,3,5,4,5,4,5,3,3,2,2,3,2,3,NA,5,2,3,5,5,3,6,4,NA,1,6,NA,3,5,6,NA
"88021",NA,8,4,NA,NA,3,NA,2,5,5,5,6,4,2,2,2,1,2,2,1,2,2,1,0,1,2,2,2,2,0,3,0,1,2,1,4,0,NA,3,1,2,5,5,2,3
"88022",1,NA,NA,2,2,4,NA,6,2,3,3,4,7,1,2,3,1,NA,6,4,3,3,6,1,5,2,2,3,5,3,NA,NA,NA,6,5,6,5,2,3,NA,1,NA,4,5,5
"88023",NA,NA,NA,1,1,0,NA,2,1,0,0,0,0,1,0,3,2,2,3,1,1,4,1,4,1,1,3,1,1,2,2,4,2,4,4,4,6,2,5,2,4,5,6,4,5
"88024",NA,1,NA,6,4,9,5,3,2,4,7,6,4,5,NA,4,NA,5,NA,4,2,1,3,3,1,3,5,1,7,4,5,4,2,4,5,8,7,NA,5,5,2,7,4,2,5
"88025",NA,3,4,1,5,7,NA,5,5,3,6,7,7,11,13,7,5,7,10,10,NA,NA,9,NA,9,10,NA,12,15,8,13,10,9,16,11,12,15,14,12,15,NA,NA,7,NA,NA
"88026",NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,1,2,1,2,2,5,5,5,3,2,1,2,1,3,2,4,1,4,2,2,0,2,NA,8,14,NA,3,NA,7,1,7,NA,14
"88027",NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,6,15,21,8,9,23,14,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88028",5,3,4,7,7,9,6,4,2,8,6,9,7,4,4,9,5,6,5,2,NA,NA,8,NA,6,10,NA,11,12,12,15,9,15,10,9,4,17,10,13,14,8,10,9,9,9
"88029",6,6,4,8,10,9,4,8,8,7,11,17,8,5,NA,7,9,10,10,11,12,15,15,NA,4,11,15,19,12,16,15,14,NA,13,11,21,15,13,19,12,11,12,13,10,5
"88030",NA,11,10,4,14,11,6,5,9,4,13,16,5,13,4,9,6,6,2,5,8,8,6,2,7,7,3,9,7,9,3,9,6,13,4,5,9,5,7,7,7,NA,9,8,7
"88031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,4,5,4,8,8,8,10,7,2,6,3,4,NA,10,14,12,20,NA,NA,NA,22,35,16,24,29,NA,NA,NA,11,10,12,6,6
"88032",13,10,9,9,NA,NA,NA,12,11,NA,NA,NA,15,27,NA,18,15,7,11,7,6,10,4,5,4,2,5,10,10,11,10,NA,NA,NA,4,NA,NA,NA,NA,3,9,8,9,3,7
"88033",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,2,6,5,NA,10,2,6,4,6,14,5,11,17,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
